데이터 시간,시리얼번호,미세먼지 (㎍/㎥),초미세먼지 (㎍/㎥),이산화탄소 (ppm),휘발성유기화합물 (ppb),온도(℃),습도(%),소음(dB),통합실내지수
2024-03-20 9:59,ICW0W2100488,36,13,365,36,19.5,15,72,93
2024-03-20 9:59,ICW0W2100506,0,0,95,5,10.9,28,59,92
2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-03-20 9:59,ICW0W2100582,27,10,608,261,23.2,19,69,89
2024-03-20 9:59,ICW0W2100579,20,8,0,131,25.3,13,58,92
2024-03-20 10:00,ICW0W2100562,27,15,609,312,21.7,16,81,88
2024-03-20 9:59,ICW0W2100560,15,5,952,6000,23.9,22,58,66
2024-03-20 9:59,ICW0W2100549,29,11,348,5,10.6,27,64,87
2024-03-20 9:59,ICW0W2100509,28,10,112,6000,21.7,22,81,68
2024-03-19 17:57,ICW0W2100499,33,13,500,548,20.5,30,82,86
2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
2024-03-20 9:59,ICW0W2100497,210,88,926,24,21.8,21,74,66
2024-03-20 10:02,ICW0W2100491,23,12,1189,60000,24,23,72,60
2024-03-20 9:59,ICW0W2100485,37,13,1251,1,23.5,31,80,85
2024-03-20 9:59,ICW0W2100481,16,6,887,6000,20.7,29,67,66
2024-03-20 10:00,ICW0W2100479,28,10,1149,96,24.9,23,82,84
2024-03-20 9:59,ICW0W2100489,16,6,84,4,22.1,23,80,100
2024-03-20 9:59,ICW0W2100467,15,5,,6000,22.3,24,74,62
2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
2024-03-20 9:59,ICW0W2100462,30,11,314,112,22.5,28,62,96
2024-03-20 9:59,ICW0W2100460,46,16,525,0,18.1,29,75,94
2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
2024-03-20 9:59,ICW0W2100455,197,59,1883,0,25.5,32,61,56
2024-03-20 9:59,ICW0W2000512,27,11,488,103,31,17,63,82
2024-03-20 9:59,ICW0W2001000,24,16,61,31,17,27,53,95
2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
2024-03-20 9:59,ICW0W2000951,41,12,355,16,19.7,24,60,96
2024-03-20 9:59,ICW0W2000956,31,19,774,357,21.4,32,51,89
2024-03-20 9:59,ICW0W2000996,24,23,651,162,20.3,26,57,92
2024-03-20 9:59,ICW0W2000991,16,11,656,3216,18.1,26,78,72
2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21,34,63,71
2024-03-20 9:59,ICW0W2000983,28,18,214,3,10.3,26,68,87
2024-03-20 9:59,ICW0W2000955,31,21,537,41,14.6,24,67,87
2024-03-20 9:59,ICW0W2000987,24,14,765,229,21.8,26,60,92
2024-03-20 9:59,ICW0W2000978,30,20,451,50,20.1,22,52,94
2024-03-20 9:59,ICW0W2000922,26,8,595,18,21.3,26,75,96
2024-03-20 9:59,ICW0W2000926,10,3,142,81,27.4,21,58,93
2024-03-20 9:59,ICW0W2000977,33,22,551,44,19.2,24,67,93
2024-03-20 9:59,ICW0W2000933,29,9,628,87,22.7,22,63,95
2024-03-13 8:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
2024-03-20 9:59,ICW0W2000973,14,9,629,31,17.3,28,69,94
2024-03-20 9:59,ICW0W2000972,72,50,814,181,21.4,20,77,82
2024-03-20 9:59,ICW0W2000968,11,8,710,996,26.5,19,67,72
2024-03-20 9:59,ICW0W2000944,19,13,552,40,16.8,26,83,93
2024-03-20 9:59,ICW0W2000964,33,22,563,29,14.7,22,68,86
2024-03-20 9:59,ICW0W2000924,80,27,805,31,20.6,27,79,89
2024-03-20 9:59,ICW0W2000505,10,4,417,111,25.4,19,57,92
2024-03-20 9:47,V01T1623100,34,16,329,126,21.3,18,30,91
2024-03-20 9:59,V01T1623130,31,15,392,125,16.1,23,31,91
2024-03-20 9:59,V01T1623129,9,4,607,168,23.3,22,42,96
2024-03-20 9:59,V01T1623123,21,10,601,126,20.8,18,37,92
2024-03-13 15:23,V01T1623121,55,24,426,132,18,22,43,92
2024-03-20 9:58,V01T1623118,1,1,439,125,19.7,25,47,99
2024-03-20 9:58,V01T1623117,21,10,431,164,22.4,16,30,92
2024-03-20 9:59,V01T1623116,38,17,312,163,17.5,28,35,90
2024-03-20 9:59,V01T1623113,22,11,425,129,26.2,9,30,90
2024-03-20 9:59,V01T1623112,11,5,354,125,23,23,33,98
2024-03-20 9:40,V01T1623109,51,22,2362,128,11,34,41,64
2024-03-14 8:08,V01T1623108,39,18,623,125,20.3,26,33,92
2024-03-20 9:59,V01T1623105,16,8,412,125,18.4,19,30,94
2024-03-20 9:59,V01T1623102,7,3,656,139,26.4,14,42,91
2024-03-20 9:59,ICW0W2000503,24,9,387,325,15,30,49,86
2024-03-20 9:59,ICW0W2000455,19,7,136,45,19.8,29,63,99
2024-03-20 9:59,ICW0W2000447,12,4,291,116,20,24,51,98
2024-03-20 9:59,ICW0W2000459,19,7,647,16,22.2,23,63,97
2024-03-20 9:59,ICW0W2000507,12,7,617,44,21.1,24,60,97
2024-03-20 9:59,ICW0W2000501,15,6,442,46,22.6,24,72,98
2024-03-20 9:59,ICW0W2000500,14,8,2500,306,26.5,19,61,69
2024-03-20 9:59,ICW0W2000380,27,10,272,0,14.6,26,54,91
